id,name,status,physical_verification,source_url,evidence_file,checked_at,osm_last_edit,osm_version,survey_dates,positive_tags,review_flags,opening_hours,website,website_checked,lat,lon,tag_changes,next_action
node/316743611,Kranji,tag_supported,not_verified,https://www.openstreetmap.org/node/316743611,batch-1.json,2026-09-05T10:24:51.878712+00:00,2025-05-02T12:20:20Z,33,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.2245133,106.9798267,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/316744738,Cibitung,tag_supported,not_verified,https://www.openstreetmap.org/node/316744738,batch-1.json,2026-09-05T10:24:51.878712+00:00,2026-03-08T00:07:32Z,30,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.2618245,107.0837982,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/318718577,Pondok Ranji,tag_supported,not_verified,https://www.openstreetmap.org/node/318718577,batch-1.json,2026-09-05T10:24:51.878712+00:00,2025-05-27T12:23:56Z,19,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.2766831,106.7446926,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/318841469,Citayam,tag_supported,not_verified,https://www.openstreetmap.org/node/318841469,batch-1.json,2026-09-05T10:24:51.878712+00:00,2026-06-27T15:29:14Z,20,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.4488237,106.8023619,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/972186784,XXI,tag_supported,not_verified,https://www.openstreetmap.org/node/972186784,batch-1.json,2026-09-05T10:24:51.878712+00:00,2026-06-17T03:44:25Z,7,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",Mo-Su 10:00-22:00,,False,-6.2646617,106.7843092,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/1345742942,KFC,tag_supported,not_verified,https://www.openstreetmap.org/node/1345742942,batch-1.json,2026-09-05T10:24:51.878712+00:00,2019-11-25T00:49:09Z,2,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",24/7,,False,-6.2265246,106.8015565,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/1354554844,CFC,tag_supported,not_verified,https://www.openstreetmap.org/node/1354554844,batch-1.json,2026-09-05T10:24:51.878712+00:00,2024-05-10T14:17:05Z,5,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",24/7,,False,-6.1892346,106.7963777,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/1579904447,,tag_supported_needs_review,not_verified,https://www.openstreetmap.org/node/1579904447,batch-1.json,2026-09-05T10:24:51.878712+00:00,2023-03-27T09:45:38Z,8,"{""survey:date"": ""2022-06-27""}","[""wheelchair=yes""]","[""access=private"", ""unnamed_object""]",,,False,-6.381081,106.8422871,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/1691655086,Sekretariat RW 07 (Front Office Taman Anggrek),tag_supported_needs_review,not_verified,https://www.openstreetmap.org/node/1691655086,batch-1.json,2026-09-05T10:24:51.878712+00:00,2023-11-23T03:36:39Z,7,"{""check_date"": ""2023-11-13""}","[""wheelchair=yes""]","[""indoor_or_level_requires_entrance_check""]",,,False,-6.1788679,106.7919629,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/1708442915,Loewy,tag_supported,not_verified,https://www.openstreetmap.org/node/1708442915,batch-1.json,2026-09-05T10:24:51.878712+00:00,2017-02-14T00:57:51Z,2,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.2274971,106.8256943,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/2063493247,Asrama UI,tag_supported,not_verified,https://www.openstreetmap.org/node/2063493247,batch-1.json,2026-09-05T10:24:51.878712+00:00,2024-03-15T04:07:41Z,4,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.3483498,106.8297711,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
node/2063493256,Fakultas Ekonomi dan Bisnis,tag_supported,not_verified,https://www.openstreetmap.org/node/2063493256,batch-1.json,2026-09-05T10:24:51.878712+00:00,2024-03-15T12:03:21Z,5,{},"[""wheelchair=yes""]","[""no_recorded_accessibility_survey_date""]",,,False,-6.3594526,106.8258186,{},"Periksa pintu masuk, kondisi fasilitas, hambatan, jam akses dan foto bertanggal di lapangan."
